ev_workplace_charging,CHADEMO,J1772,J1772COMBO,NEMA515,NEMA520,TESLA,status_code_E,status_code_P,status_code_T,access_code_cleaned,ev_network_encoded,longitude,latitude,station_region_encoded,station_subregion_encoded,access_hours,ev_level2_evse_num
0.0,0,1,0,0,0,0,1,0,0,1,92,0.4626826641097068,0.557075469385957,0.0,0.0,0.6458333333333333,0.02071005917159763
1.0,1,1,1,0,0,0,1,0,0,0,92,0.4910721067934958,0.5874566805495931,0.0005720823798627002,0.0005558643690939411,0.0,1.0
1.0,1,1,0,0,0,0,1,0,0,0,92,0.5172026474232041,0.5999856214553958,0.0005720823798627002,0.0011117287381878821,0.0,0.13609467455621302
0.0,0,1,0,0,0,0,1,0,0,0,92,0.34132707382525496,0.5509286415706569,0.0005720823798627002,0.0016675931072818232,0.0,0.038461538461538464
1.0,0,1,0,0,0,0,1,0,0,0,92,0.5066677458921731,0.555763427191458,0.0005720823798627002,0.0022234574763757642,0.0,0.07988165680473372
0.0,0,1,0,0,0,0,1,0,0,1,92,0.2983643506901785,0.3981124892365102,0.0011441647597254005,0.002779321845469705,1.0,0.05917159763313609
0.0,0,1,0,0,0,0,0,0,1,1,11,0.12204546445090614,0.8657746522597947,0.0017162471395881008,0.0033351862145636463,1.0,0.011834319526627219
0.0,0,1,0,0,1,0,1,0,0,1,92,0.20964827624851523,0.6176107760656038,0.002288329519450801,0.0038910505836575876,0.0,0.04437869822485207
0.0,0,1,0,0,0,0,1,0,0,1,92,0.32091725868411913,0.5398081444651623,0.002860411899313501,0.0044469149527515284,1.0,0.01775147928994083
0.0,0,1,0,0,0,0,1,0,0,1,92,0.3028161560061733,0.4005813507008682,0.0011441647597254005,0.005002779321845469,1.0,0.05917159763313609
1.0,0,1,0,0,0,0,1,0,0,0,92,0.48083233193653996,0.5873161629546573,0.0005720823798627002,0.00555864369093941,0.0,0.05029585798816568
1.0,0,1,0,0,0,0,1,0,0,0,92,0.48100542310828587,0.5462245699916508,0.0005720823798627002,0.006114508060033352,0.0,0.056213017751479286
1.0,0,1,0,0,0,0,1,0,0,0,92,0.5302467483141982,0.6248163876194184,0.0005720823798627002,0.006670372429127293,0.0,0.23372781065088757
0.0,1,1,0,0,0,0,1,0,0,1,92,0.4603888947692667,0.5482996554051027,0.0034324942791762016,0.0072262367982212335,0.0,0.0029585798816568047
0.0,1,1,0,0,0,0,1,0,0,1,92,0.35656905901907976,0.7088785878962014,0.004004576659038902,0.007782101167315175,0.0,0.005917159763313609
1.0,0,1,0,0,0,0,1,0,0,1,34,0.3547273191414888,0.5944008640198177,0.004576659038901602,0.008337965536409116,0.0,0.04437869822485207
0.0,0,1,0,0,0,0,1,0,0,1,92,0.454696810265915,0.537045176406771,0.005148741418764302,0.008893829905503057,0.3333333333333333,0.005917159763313609
