access_code,status_code,geocode_status,latitude,longitude,state,ev_level2_evse_num,ev_network,ev_workplace_charging,con_CHADEMO,con_J1772,con_J1772COMBO,con_NEMA520,con_NEMA515,con_TESLA,con_NEMA1450,access_days,access_hours,weekday_access,weekend_access,daily_access,total_weekly_hours,availability_class,is_24_7,primary_use_case,avg_distance_km,area_type,log_avg_distance_km,connector_count,connector_diversity
public,E,200-8,34.13722,-118.35835,CA,10.0,Non-Networked,0.0,False,True,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.2339573164383979,Urban,0.2102263352888503,2,0.2857142857142857
public,T,GPS,34.211366,-118.448346,CA,4.0,EV Connect,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.543757065221163,Urban,0.43421909804515946,1,0.14285714285714285
public,E,200-8,33.94756,-118.153806,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.592903915881654,Rural,0.46555871265032867,1,0.14285714285714285
public,E,GPS,37.80619,-122.4152,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.33716408179794877,Urban,0.29055101444770204,1,0.14285714285714285
public,E,200-8,38.599693,-121.427045,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.28796445635582896,Urban,0.25306303130435814,1,0.14285714285714285
public,E,GPS,37.78881,-122.401,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.13093479045698347,Urban,0.1230445389350736,1,0.14285714285714285
public,E,200-8,37.791791,-122.411265,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.15265584599331283,Urban,0.142068711035895,1,0.14285714285714285
public,E,GPS,34.248959,-118.523887,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.074548127411088,Rural,0.7297433600449817,1,0.14285714285714285
public,E,GPS,34.241687,-118.528543,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5081906481734538,Urban,0.41091068611306386,1,0.14285714285714285
public,E,GPS,34.236853,-118.532588,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.40285137816682115,Urban,0.3385068640528981,1,0.14285714285714285
public,T,GPS,34.22947,-118.544934,CA,4.0,EV Connect,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5025517455698161,Urban,0.40716482648132674,1,0.14285714285714285
public,E,200-9,33.740758,-118.28192,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,9.0,True,False,False,45.0,Medium,0,Commuter,0.4208101407384353,Urban,0.35122723057435423,1,0.14285714285714285
public,T,GPS,34.293717,-118.449219,CA,4.0,EV Connect,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.1131129174685435,Rural,0.7481621766138201,1,0.14285714285714285
public,E,200-9,34.077588,-118.474585,CA,15.0,Non-Networked,0.0,False,True,False,True,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.9835093527238807,Rural,0.6848676762239899,2,0.2857142857142857
public,E,GPS,34.145528,-118.050548,CA,3.0,POWERFLEX,1.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Workplace,1.2135141879138798,Rural,0.794581382888911,1,0.14285714285714285
public,E,GPS,34.13556,-117.864,CA,3.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,21.0,True,False,False,105.0,High,0,Commuter,1.9093611632983554,Rural,1.0679335255702387,1,0.14285714285714285
public,E,GPS,33.9826,-118.3966,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.3771403483493879,Urban,0.32000913782748525,1,0.14285714285714285
public,E,200-9,34.029971,-118.385231,CA,6.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.20791027575174043,Urban,0.18889182171414584,1,0.14285714285714285
public,E,GPS,33.777054,-117.870566,CA,8.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.31179042601993745,Urban,0.2713929414974097,1,0.14285714285714285
public,E,GPS,34.1665760166028,-119.045854662704,CA,5.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,4.386356404781678,Rural,1.6838691646437907,1,0.14285714285714285
public,E,200-8,33.919899,-117.898618,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.7470940354077851,Rural,0.5579538564965467,1,0.14285714285714285
public,E,GPS,34.192178,-118.934793,CA,2.0,Non-Networked,0.0,False,True,False,False,True,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.9236722532305794,Rural,0.6542359911791398,2,0.2857142857142857
public,E,GPS,34.418322,-119.3368,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,9.0,True,False,False,45.0,Medium,0,Commuter,7.13377615077043,Rural,2.09602528691584,1,0.14285714285714285
public,E,GPS,34.105275,-117.809208,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.4805869273184003,Urban,0.39243858167436096,1,0.14285714285714285
public,E,GPS,34.147709,-118.136621,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.26523972827784836,Urban,0.23526161274505053,1,0.14285714285714285
